epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
38,2020-09-16,47,GO,Damianópolis,5206701,city,9,271.8212,0,0,0,0.0,3311,True,False
38,2020-09-16,105,GO,Damolândia,5206800,city,70,2382.57318,3,2,0,0.0286,2938,True,False
38,2020-09-16,53,GO,Davinópolis,5206909,city,16,764.08787,0,0,0,0.0,2094,True,False
38,2020-09-16,71,GO,Diorama,5207105,city,17,684.38003,1,0,0,0.0,2484,True,False
38,2020-09-16,87,GO,Divinópolis de Goiás,5208301,city,59,1228.14321,0,1,0,0.0169,4804,True,False
38,2020-09-16,127,GO,Doverlândia,5207253,city,89,1215.51489,0,1,0,0.0112,7322,True,False
38,2020-09-16,93,GO,Edealina,5207352,city,82,2216.81536,6,0,0,0.0,3699,True,False
38,2020-09-16,133,GO,Edéia,5207402,city,249,2012.60912,4,4,0,0.0161,12372,True,False
38,2020-09-16,101,GO,Estrela do Norte,5207501,city,19,580.15267,0,0,0,0.0,3275,True,False
38,2020-09-16,156,GO,Faina,5207535,city,233,3515.91972,1,0,0,0.0,6627,True,False
38,2020-09-16,80,GO,Fazenda Nova,5207600,city,47,833.77683,6,1,0,0.0213,5637,True,False
38,2020-09-16,111,GO,Firminópolis,5207808,city,143,1075.83509,-1,2,0,0.014,13292,True,False
38,2020-09-16,107,GO,Flores de Goiás,5207907,city,72,434.86139,3,2,0,0.0278,16557,True,False
38,2020-09-16,157,GO,Formosa,5208004,city,1994,1639.57341,19,52,0,0.0261,121617,True,False
38,2020-09-16,66,GO,Formoso,5208103,city,26,612.05273,-1,1,0,0.0385,4248,True,False
38,2020-09-16,111,GO,Gameleira de Goiás,5208152,city,80,2095.33787,0,2,0,0.025,3818,True,False
38,2020-09-16,117,GO,Goianápolis,5208400,city,325,2893.77616,0,8,0,0.0246,11231,True,False
38,2020-09-16,162,GO,Goiandira,5208509,city,55,982.14286,0,2,0,0.0364,5600,True,False
38,2020-09-16,173,GO,Goianésia,5208608,city,2071,2955.0254,77,56,0,0.027,70084,True,False
